Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-25T160853-782Z,6.47,0,1.682134,3.604538,0.747895,13.593201,1.635411,1.8,1.469837,0.106609,1.840297,2724.675296,1,0.000136529,5.01E-08
2019-04-25T182305-789Z,4.67,0,1.793289,2.508262,1.581974,14.047975,1.686962,1.8,1.449936,0.162963,1.978621,2309.786695,0,0.000129678,5.61E-08
2019-04-26T231839-375Z,1.29,0,1.821361,1.289045,1.176839,14.14848,1.111665,1.8,1.402472,0.171675,1.884491,2880.650638,1,0.000115225,4.00E-08
2019-04-25T170300-845Z,6.67,0,1.827334,1.492686,1.080991,10.338166,1.081072,1.8,1.434334,0.152314,1.938891,2753.374582,1,0.000124584,4.52E-08
2019-04-26T002920-163Z,5.72,0,1.878169,1.113419,1.321459,11.020669,1.31879,1.8,1.200431,0.118405,1.83909,2618.53397,1,0.000142457,5.44E-08
2019-04-24T221714-723Z,4.65,0,1.886369,1.01,1.470384,15.675588,1.22182,1.784026,1.424219,0.06465,1.929992,3001.576761,0,0.000136093,4.53E-08
2019-04-25T223113-541Z,7.24,0,1.900944,1.492301,1.317848,15.8,1.524764,1.8,1.350785,0.186729,1.807403,4053.207318,1,0.000172031,4.24E-08
2019-04-26T185902-622Z,1.44,0,2.05,1.471382,1.314309,15.8,1.26872,1.758762,1.421827,0.205915,1.878574,2792.122568,0,0.000134166,4.81E-08
2019-04-25T181333-679Z,5.84,0.004446,1.612968,7.608791,1.131979,14.476868,1.656099,1.8,1.215412,-0.22556,1.773077,3295.595756,1,0.000172248,5.23E-08
2019-04-26T204428-740Z,11.64,0.005465,1.55,5.461585,1.020542,8.791587,1.055011,1.8,1.084035,0.084157,1.726013,3364.599621,1,0.000172275,5.12E-08
